2026-04-19 19:31:57,931 [INFO] yamlgraph.graph_loader: Parsed 3 Python tools: list_diary_files, aggregate_index, write_index
2026-04-19 19:31:57,931 [INFO] yamlgraph.node_compiler: Added node: list_files (type=python)
2026-04-19 19:31:57,936 [INFO] yamlgraph.node_compiler: Added node: extract_all (type=map)
2026-04-19 19:31:57,936 [INFO] yamlgraph.node_compiler: Added node: aggregate (type=python)
2026-04-19 19:31:57,936 [INFO] yamlgraph.node_compiler: Added node: write_index (type=python)
2026-04-19 19:31:57,947 [INFO] yamlgraph.tools.python_tool: 🐍 Executing Python node: list_files -> list_diary_files
2026-04-19 19:31:58,062 [INFO] yamlgraph.utils.llm_factory: Creating LLM: anthropic/claude-haiku-4-5 (temp=0.2)
2026-04-19 19:31:59,084 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,084 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,114 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,123 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,129 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,140 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,147 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,147 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,147 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,156 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,169 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,175 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,175 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,187 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,195 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,198 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,205 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,209 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,220 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
2026-04-19 19:31:59,229 [WARNING] yamlgraph.error_handlers: Node _map_extract_all_sub failed, skipping: "Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"
